,HITId,chars,text,agr,cons,ext,open,stab
10,3OID399FXGML1B9A19D5QJJS497DF8,Chandler,"<b>s04_e22_c13(0) for Chandler</b><br><br><b>Joey</b>: All right, okay, this is great, uh, Chandler, you get behind the desk. And-and when she comes in hopefully, she won't recognise you because, well, why would she? Uh, okay, and then you buzz Ross and I. (to Ross) You be Mr. Gonzalez, and I'll be uh, Mr. Wong.<br><br><b>Ross</b>: Diverse.<br><br>(There's a knock on the door.)<br><br><b>The Stripper</b>: Did anybody call for security?<br><br><b>Chandler</b>: (to Ross) You be cool. (He opens the door and lets her in as they all turn there backs on her.)<br><br><b>The Stripper</b>: Okay, which one of you guys is Gunther Central-Perk? (Sees Joey.) Hey, Joey?<br><br><b>Ross</b>: Where's my ring? My dead grandmother's wedding ring? Where is it? Where is it?<br><br><b>Chandler</b>: Way to be cool, man.<br><br>",1.0,1.0,1.0,1.0,1.0
11,3DTJ4WT8BDUWYYEAYGIWZTHVGQ1ZEA,Emily,"<b>s04_e23_c10(0) for Emily</b><br><br><b>Emily</b>: Hello?<br><br><b>Ross</b>: Hey! I just spoke to your dad, and you know what? He seems to think we'll be able to find a new place for the wedding.<br><br><b>Emily</b>: We don't have to.<br><br><b>Ross</b>: Whoa-whoa-what? You found a place?<br><br><b>Emily</b>: No. But, Monica and I were talking, and-and I was so upset about the hall being knocked down, and she suggested that we put the wedding off for a bit.<br><br><b>Ross</b>: She said what?<br><br><b>Emily</b>: She said, ""If I'm not gonna be happy getting married somewhere that we find in a day, well then we should just postpone it.""<br><br><b>Ross</b>: Postpone it? Emily, do you think Monica realises how much our parents spent on this wedding? Do you my sister's teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh? (He puts his pants on backwards.) This isn't right.<br><br><b>Emily</b>: I realise that people are going to be disappointed. But, I'm sure they'll come back when we can do it right.<br><br><b>Ross</b>: I can't ask people to do that? Would you ask people to do that? (Holds out his pants)<br><br><b>Emily</b>: Don't you point your pants at me! (She throws them on the floor.) We have no choice! Anywhere that's half-decent would've be booked months ago, Ross don't you understand? This is our wedding I'm talking about.<br><br><b>Ross</b>: The only thing I understand is; postponing it is not an option. This is when we're getting married.<br><br><b>Emily</b>: So what are you saying? It's now or never?<br><br>",0.0,1.0,1.0,1.0,0.0
12,3GVPRXWRPH9PUTAQB4G4TOMOY8TI78,Russ,"<b>s02_e10_c04(0) for Russ</b><br><br><b>Monica Geller</b>: Not that bad? Did you hear the hammer story?<br><br><b>Phoebe Buffay</b>: OK, OK, don't get all squinky.<br><br><b>Rachel Green</b>: Maybe it was just the kind of story where you have to be there.<br><br><b>Monica Geller</b>: But I'm gonna be there... for the rest of my life. I mean, I can't break up with him. I'm the one who made him quit drinking. He's dull because of me.<br><br><b>Phoebe Buffay</b>: Alright, don't say that. He's probably always been dull. You just, you know, set it free. [Russ enters, walking in behind Chandler.]<br><br><b>Russ</b>: Hi.<br><br><b>Chandler Bing</b>: [turning around] Hey Ross.... bahhhh!<br><br><b>Rachel Green</b>: Hi Russ, I've just got two more tables to clean and then we'll go, OK?<br><br><b>Russ</b>: OK, I'll just sit here and... uh... chat with your, uh.... friend-type....people. [Phoebe walks up to Rachel, cleaning tables.]<br><br>",1.0,0.0,0.0,0.0,0.0
13,3O71U79SRB4X9AK9KMC7G8P12DSSMN,Chloe,"<b>s03_e15_c08(0) for Chloe</b><br><br><b>Chloe</b>: And the advances in collating in the past five years, I mean we just got in an X-5000, y'know. The X-5000 makes the X-50 look like a T-71.<br><br>(Chandler agrees in an absolutely bored way.)<br><br><b>Chloe</b>: (seeing Ross enter) Hey, it's the dinosaur guy. (runs over to Ross) Hi, Ross.<br><br><b>Ross</b>: Oh, hi Chloe.<br><br><b>Chloe</b>: I want you to met some friends of mine. (Introduces him to Chandler and Joey) This guy is my hero, he comes in with some stuff he wants it blown up 400%, we said we don't do that, and he says you gotta. And y'know what, we did it. And now anytime anybody wants 400, we just say 'let's Ross it!'<br><br>",1.0,1.0,1.0,1.0,1.0
14,3GMLHYZ0LECDI41RSUVIP4UWW2PUYT,Monica Geller,"<b>s02_e10_c02(0) for Monica Geller</b><br><br><b>Monica Geller</b>: Rach, does this have nonfat milk?<br><br><b>Rachel Green</b>: Ehhhummmm, I don't know, why don't you taste it.<br><br><b>Monica Geller</b>: [takes a sip] Mmmm, no.<br><br><b>Rachel Green</b>: Oh well, too late, sorry, you already had some.<br><br><b>Bobby Rush</b>: [pulls out a flask] Whattaya say we make these, uh, coffees Irish? [Phoebe and Rachel look uncomfortable.]<br><br><b>Phoebe Buffay</b>: Um, cake.<br><br><b>Rachel Green</b>: Yeah, we're gonna... we're gonna get some cake. [Phoebe and Rachel go to counter.]<br><br><b>Monica Geller</b>: You know what? It seems like you've been making an awful lot of stuff Irish lately.<br><br><b>Bobby Rush</b>: Well, I would make them Belgian, but the waffles are hard to get into that flask.<br><br><b>Monica Geller</b>: Bobby.<br><br><b>Bobby Rush</b>: Yeah, OK.<br><br><b>Monica Geller</b>: Look, maybe this is none of my business, or maybe it is, I don't know... but, uh, I'm kind of worried about you.<br><br><b>Bobby Rush</b>: OK, look, this isn't the first time somebody's said something to me about this, but, I don't know... I always made excuses about it, like... uhhh... 'I'm just a social drinker,' or, 'C'mon, it's Flag Day.'<br><br><b>Monica Geller</b>: So, what are you saying now?<br><br>",1.0,1.0,1.0,1.0,1.0
15,359AP8GAGGZYHQOQJUKIILOTL397CV,Monica Geller,"<b>s02_e17_c01(0) for Monica Geller</b><br><br><b>Joey Tribbiani</b>: Huh? So whaddya think? Casa de Joey. Huh? I decorated it myself.<br><br><b>Ross Geller</b>: Get out.<br><br><b>All</b>: No.<br><br><b>Monica Geller</b>: [looking at some kind of glass sculpture thing] Wow Joey, this is, uhh...<br><br><b>Joey Tribbiani</b>: Art.<br><br><b>Monica Geller</b>: Art it is.<br><br>",0.0,0.0,0.0,0.0,0.0
16,30F94FBDNRZ25JTRIXROCXATS29TB5,Fake Monica,"<b>s01_e21_c12(0) for Fake Monica</b><br><br><b>Monica Geller</b>: Hi.<br><br><b>Fake Monica</b>: Hey.<br><br><b>Monica Geller</b>: How are you?<br><br><b>Fake Monica</b>: I'm not too bad. Fortunately, blue's my colour. How-how did you know I was here?<br><br><b>Monica Geller</b>: Because... I'm Monica Geller. It was my credit card you were using.<br><br><b>Fake Monica</b>: That I was not expecting.<br><br><b>Monica Geller</b>: I want you to know, it wasn't me who turned you in.<br><br><b>Fake Monica</b>: Oh. Thanks.<br><br><b>Monica Geller</b>: No, thank you! You have given me so much! I mean, if it wasn't for you, I would never have gotten to sing Memories on the stage at the Wintergarden Theater!<br><br><b>Fake Monica</b>: Well, actually, you only got to sing 'Memo-'.<br><br><b>Monica Geller</b>: I just can't believe you're in here. I mean, what am I gonna do without you? Who's gonna crash the embassy parties with me? Who's gonna take me to the Big Apple Circus?<br><br><b>Fake Monica</b>: Monica, I started my day by peeing in front of twenty-five other women, and you're worried about who's gonna take you to the Big Apple Circus?<br><br><b>Monica Geller</b>: Well, not... worried, just... wondering.<br><br>",1.0,1.0,0.0,1.0,0.0
17,39WSF6KUV20KZU03W77FJVARWMZEOO,Chandler,"<b>s04_e11_c02(0) for Chandler</b><br><br><b>Joey</b>: (entering with Ross) Hey! You guys! Check it out, check it out! (He's wearing a blue blazer) Guess which job I got.<br><br><b>Chandler</b>: I don't know, but Donald Trump wants his blue blazer black.<br><br>(The gang is stunned.)<br><br><b>Ross</b>: What?<br><br><b>Chandler</b>: Blue blazer back. He-he wants it back.<br><br><b>Rachel</b>: But you-you said black. Why would he want his blue blazer black?<br><br><b>Chandler</b>: Well, you-you know what I meant.<br><br><b>Monica</b>: No, you messed it up. You're stupid.<br><br><b>Chandler</b>: So what job did you get Joe?<br><br>",1.0,1.0,1.0,1.0,1.0
18,3BS6ERDL93MPIIGZ0GA1WD6FBA4D65,Tim,"<b>s04_e08_c08(2) for Tim</b><br><br><b>Chandler</b>: Absolutely!<br><br><b>Joey</b>: That sounds like another word to me! Are you gonna take this seriously? (There's no response from Chandler.) Okay.<br><br>(Rachel comes back carrying a shoe box.)<br><br><b>Rachel</b>: Don't say that I have no sentiment! (Starts to show Ross what's in the box.) This is a movie stub from our first date! This is an eggshell from the first time you made me breakfast in bed! (Holds up a bone) This is from the museum from the first time we... were together. Okay, maybe I exchange gifts sometimes, but I keep the things that matter!<br><br><b>Ross</b>: I don't know what to say, I'm sorry. Though, you're not supposed to take these. (Points to the bone) It's like a million years old, we, we actually, we had people looking for that.<br><br>(Rachel glares at him.)<br><br>[Cut to the balcony with Monica and Tim.]<br><br><b>Monica</b>: (putting off her coat) Ooh, this always happens. (Her coat gets stuck.)<br><br><b>Tim</b>: Here, let me help. (Does so.)<br><br><b>Monica</b>: Thank you.<br><br><b>Tim</b>: You-you have a very beautiful... eye.<br><br><b>Monica</b>: Y'know all my friends think this is weird.<br><br><b>Tim</b>: Y'know I-I thought it was gonna be weird, I mean I almost called and canceled, but it really isn't.<br><br><b>Monica</b>: I know! I mean it's like me and your dad, that's a totally separate thing.<br><br><b>Tim</b>: Oh, I totally agree.<br><br><b>Monica</b>: We're just two people who find each other very attractive. Right?<br><br>(Tim leans in to kiss her. They stop, and when he tries to kiss her again, Monica pulls away.)<br><br><b>Tim</b>: What?<br><br><b>Monica</b>: Nothing. Nothing.<br><br><b>Tim</b>: No-no really, was-was that not okay?<br><br><b>Monica</b>: No-no-no that was good, it was, that was uh, that was a goood kiss...<br><br><b>Tim</b>: Oh my God! It didn't remind you of...<br><br><b>Monica</b>: (interrupting) Don't say it!<br><br><b>Tim</b>: No, but it did! Didn't it?!<br><br><b>Monica</b>: Yeah!<br><br><b>Tim</b>: Oh man!!<br><br>",1.0,1.0,0.0,1.0,1.0
19,3OZ4VAIBEXUN0UVSBK4KB3HRXNSJVG,Joey,"<b>s04_e10_c04(0) for Joey</b><br><br><b>Chandler</b>: See, I'm not bad at this fixing up thing, huh?<br><br><b>Rachel</b>: Well, so what does he do?<br><br><b>Chandler</b>: Oh, he works in the Fine Foods division.<br><br><b>Rachel</b>: Your company has a fine foods division?<br><br><b>Chandler</b>: It's a big company, I don't-if you-I...<br><br><b>Joey</b>: Now, wait a second! You make food and robots?<br><br><b>Phoebe</b>: No! No, the robots just work for them.<br><br>",1.0,0.0,1.0,0.0,0.0
20,3IH9TRB0FBEBJ7VOMOZVSEVBV4WI1E,Ross,"<b>s03_e01_c11(0) for Ross</b><br><br><b>Monica</b>: (crying) So, I went down to the post office, and it turns out it was those videos that I ordered for Richard about the Civil War. He loved the Civil War.<br><br><b>Phoebe</b>: Monica, do you want us to take you home?<br><br><b>Monica</b>: Uh, huh. (to Ross) Or maybe to a galaxy far, far away. (Rachel, Monica, and Phoebe leave)<br><br><b>Ross</b>: Women tell each other everything. Did you know that?<br><br><b>Chandler</b>: Umm, yeah.<br><br><b>Ross</b>: No Chandler, everything! Like stuff you like, stuff she likes, technique, stamina, girth....<br><br><b>Chandler</b>: Girth? Why, why, why, wh-why, why, why, why would they do this?<br><br><b>Ross</b>: Rachel says sharing's great and supposedly, you know, we outta be doing it. Do you wanna?<br><br><b>Chandler</b>: We're not gonna talk about girth are we?<br><br><b>Ross</b>: Nooo!<br><br><b>Chandler</b>: Yeah, okay.<br><br><b>Ross</b>: Yeah?<br><br><b>Chandler</b>: Yeah! All right! You go first.<br><br><b>Ross</b>: Okay, okay, I'll go first.<br><br><b>Chandler</b>: Okay.<br><br><b>Ross</b>: So, uh, the other night Rachel and I are in bed talking about fantasies, and I happened to describe a particular Star Wars thing....<br><br><b>Chandler</b>: Princess Leia in the gold bikini.<br><br><b>Ross</b>: Yes!<br><br><b>Chandler</b>: I know!<br><br><b>Ross</b>: Yes! Wow, well, that-that was easy. Okay, you-you go.<br><br><b>Chandler</b>: Okay.<br><br><b>Ross</b>: Okay.<br><br><b>Chandler</b>: Okay, you know, you know when your in bed, with a woman.<br><br><b>Ross</b>: Hmph.<br><br><b>Chandler</b>: And, ah, you know, your fooling around with her. And you get all these like, mental images in your brain, you know, like Elle MacPherson, or that girl at the Xerox place....<br><br>",0.0,0.0,0.0,1.0,1.0
21,3ZXNP4Z39R0RKUIWW7DHL4EGFUQL7S,Ross,"<b>s04_e08_c08(0) for Ross</b><br><br><b>Monica</b>: Me going out with Richard's son.<br><br><b>Joey</b>: Ewwwww!! Ew! Ew! Ew!<br><br><b>Chandler</b>: (He is now in the box, in their living room.) Sounds like a really bad idea to me.<br><br><b>Rachel</b>: Is he okay in there?<br><br><b>Joey</b>: He's fine!<br><br><b>Ross</b>: Hey, y'know, Mon, if things wrong out between you and Richard's son, you'd be able to tell your kids, that you slept with their grandfather.<br><br><b>Monica</b>: Fine! Judge all you want to but, (points to Ross) married a lesbian, (points to Rachel) left a man at the altar, (points to Phoebe) fell in love with a gay ice dancer, (points to Joey) threw a girl's wooden leg in a fire, (points to Chandler) livin' in a box!! (goes to her room)<br><br><b>Rachel</b>: So now, what exactly is the point of the box?<br><br><b>Joey</b>: Chandler?<br><br><b>Chandler</b>: The meaning of the box is three fold. One (holds a finger up through the air hole), it gives me the time to think about what I did. Two (holds up another finger), it proves how much I care about my friendship with Joey. And three (holds up a third finger), it hurts!<br><br><b>Ross</b>: (to Rachel) Oh hey! Hey uh, you remember the necklace I gave you last year? Can I see it?<br><br><b>Rachel</b>: (worried) Why?<br><br><b>Ross</b>: I just wanna check something.<br><br><b>Rachel</b>: Okay. (She goes into her bedroom)<br><br><b>Ross</b>: (He puts his hand over the hole on the box.) (to Chandler) Now, we'll see.<br><br><b>Chandler</b>: Air hole! Air hole!! (Ross retracts his hand quickly.)<br><br><b>Rachel</b>: (coming out of her bedroom with a necklace) Here it is! I love it. I wear it all the time.<br><br><b>Ross</b>: (grabbing the necklace) The necklace I got you was gold, this one is silver.<br><br><b>Rachel</b>: Huh, well maybe it uh, it changed.<br><br><b>Ross</b>: Oh my God! You actually exchanged it!<br><br><b>Rachel</b>: Well isn't it better that I exchanged it for something that I enjoy and that I can get a lot of use out of?<br><br><b>Ross</b>: What did you get?<br><br>",0.0,0.0,1.0,1.0,1.0
22,3TY2U1TEB7PE9ZVYUVQ18F6X20KJJU,Monica,"<b>s03_e06_c06(0) for Monica</b><br><br><b>Chandler</b>: Hey, Mon.<br><br><b>Monica</b>: Hey-hey-hey. You wanna hear something that sucks.<br><br><b>Chandler</b>: Do I ever.<br><br><b>Monica</b>: Chris says they're closing down the bar.<br><br><b>Chandler</b>: No way!<br><br><b>Monica</b>: Yeah, apparently they're turning it into some kinda coffee place.<br><br><b>Chandler</b>: Just coffee! Where are we gonna hang out now?<br><br><b>Monica</b>: Got me.<br><br><b>Chandler</b>: (to bartender) Can I get a beer.<br><br><b>Monica</b>: Hey, did you pick a roommate?<br><br><b>Chandler</b>: You betcha!<br><br><b>Monica</b>: Is it the Italian guy?<br><br><b>Chandler</b>: Um-mm, yeah right!<br><br><b>Monica</b>: He's so cute.<br><br><b>Chandler</b>: Oh yes, and that's what I want a roommate that I can walk around with and be referred to as the funny one.<br><br><b>Monica</b>: Oh look, the pool table's free. Rack 'em up. I'll be back in just a minute. Get ready for me to whip your butt.<br><br>",1.0,1.0,1.0,1.0,1.0
