characters,text,cAGR,cCON,cEXT,cOPN,cNEU
Ross Geller,"Ross Geller: No, they're not. Ross Geller: You're wrong. Ross Geller: You're wrong. Ross Geller: (getting up, upset) I'm calling Mom. ",-1.0,0.0,0.0,-2.0,-2.0
Ross Geller,"Ross Geller: Wha, heh, how could you know, I don't even know! Ross Geller: Waitohheyhuh, oh great now he knows, and I don't know! Ross Geller: Hi Pheebs! ",-1.0,0.0,0.0,-2.0,-1.0
Ryan,"Ryan: Wine? Ryan: Oh, I spilled some. ",0.0,-1.0,0.0,-1.0,0.0
Janice,"Janice: So, how come you wanted to eat in tonight? Janice: Ohhh, are you a puppy! (opens it) Contact paper! I never really know what to say when someone you're sleeping with gives you contact paper. Janice: Oh, you didn't have to do this. Janice: Well, I gotta buy a vowel. Because, oh my Gawd! Who, would've thought that someday, Chandler Bing would buy me a drawer. Janice: We should? Janice: (laughs) I don't think we need to, because you're tripping me out right now! Are you okay? ",2.0,1.0,1.0,2.0,1.0
Chandler,"Chandler: This teramisu is, is excellent. Did you make it Mary-Angela? Chandler: Well, it's, it's yummy. So Mary-Angela do you like it? Chandler: So um, Mary-Angela, what's your second favorite? Chandler: Would you just please....give me the receipt 'cause this is great. It's top notch. Chandler: So will I. Chandler: Oh no-no-no I was just squinting. That doesn't mean anything. Chandler: Will you excuse me I have to um..... (walks to the hall) Chandler: (startled) Hey! Chandler: Look, I may have jumped the gun here. (she tries to kiss him, but he ducks it and moves away) Um, I just got out of a relationship and I'm not really in a, in a commitment kind of place. Chandler: Ahhhh, you're not Mary-Angela. Chandler: This is so bad. If-if you're not Mary-Angela, then-then who is? Chandler: Oh, this is soo bad. (doesn't see Mary-Angela) Chandler: No Joey! No Joey! Don't Joey! Joey! Chandler: (pats him on the shoulder) You're it! Now run and hide! Chandler: I wasn't sure which one Mary-Angela was. (all of Joey's sisters gasp) Look, I'm sorry okay, I was really drunk, and you all look really similar. Chandler: Y'know what, we should all calm down because your brother's not going to punch me. (to Joey) Are ya? Chandler: Joey if you wanna punch me, go ahead, I deserve it. But I just want you to know that I would never soberly hurt you or your family, you're my best friend. I would never do anything like this ever again. ",0.0,-1.0,1.0,3.0,-1.0
Joey Tribbiani,"Joey Tribbiani: Hey. Joey Tribbiani: Nice, nice. Hey I got somethin' for you. [hands Chandler an envelope. Joey Tribbiani: Eight hundred and twelve bucks. Joey Tribbiani: Well, I'm makin money now and this is payin' you back for head shots, electric bills, and so many slices of pizza I can't even count. I love ya man. Joey Tribbiani: Hey, this is a little extra somethin' for uh, ya know, always bein' there for me. [hands Chandler a jewelry box] Joey Tribbiani: Heh, what d'ya say? Joey Tribbiani: Isn't it? And it's engraved too, check it out. Joey Tribbiani: Put it on. ",3.0,1.0,2.0,1.0,1.0
Phoebe,Phoebe: Hummus. I got the hummus. Phoebe: That won't go with this dress though. ,1.0,2.0,2.0,0.0,1.0
Ross,"Ross: (patting his clothes like he is looking for his wallet) No, no he's not. ",-2.0,-1.0,-2.0,0.0,1.0
Chandler Bing,"Chandler Bing: You know it? Chandler Bing: Oh, sure, they love us over there. Chandler Bing: Oh, that's good. Maybe he'll hear you and pull the cord. ",2.0,3.0,2.0,3.0,2.0
Ross,"Ross: Hey, if mommy can have a wife, daddy can have a bra. Ross: Oh, no-no-no, see, that-that clock's a little fast, uh, we have 17 minutes. Huh, what can we do in 17 minutes? Twice? Ross: Hey, uh, you can ignore that. Ross: Uhh, believe me when he's older, he'll understand. Ross: I'll be right there. (He goes over and opens the door to Carol, Susan, and Ben.) (To Ben.) Hello! (To Carol.) Hello! (To Susan.) Hey. Uhh, Emily, this is Carol and Susan. ",2.0,1.0,2.0,0.0,2.0
Ross,"Ross: Hi! Ross: Wow! You-you look great! Ross: (she lets him in) Okay! (to her son) Hey Tommy. Ross: Oh no-no-no, it's my pleasure. ",3.0,1.0,2.0,1.0,1.0
Ross Geller,"Ross Geller: C'mon, tell us. Ross Geller: C'mon Rich, it's my birthday, let me live vicariously. Ross Geller: Dad, you really don't want to do that. Ross Geller: Ahh, what's a little mid-life crisis between friends? ",0.0,0.0,2.0,2.0,0.0
Ross,"Ross: Okay, okay. Enough, enough with the lunging. No! I'm sick of this. Okay. I've had it up to here with you two! Neither you can come to the party! Ross: You know what I don't care. The only person I cared about getting dressed, is the one person that says she's not even gonna go. Look Rach, I'm sorry. Okay. Look, I-I wa, I was a jerk. I'm sorry I yelled. I want you there, I need you there. Look, what, what can I do that can show you how much, how much I want you to be there. Ross: Hi, welcome, to an adult conversation. Ross: What? Ross: Okay, okay. If that is what it takes to show you how much you mean to me, and how much I want you there. Then that's what I'll do. Ross: I think this will be fine. Okay, vanilla milkshake, just a vanilla milkshake, with chicken bits floating in it. Cheers. (starts to drink, but Rachel stops him just before he starts drinking) Ross: You will?! Ross: Well, yeah. Ross: (to Joey) How 'bout instead you, go get changed! (to Chandler) You, give him back his underwear! I'm gonna go get a cab, and I want everyone down stairs in two minutes! Monica! ",2.0,-1.0,1.0,1.0,0.0
Phoebe Buffay,"Phoebe Buffay: Oh, hi. Phoebe Buffay: Thank you. Phoebe Buffay: Eight dollars and 27 cents. But not really, 'cause I put in the first two, just to, you know, get the ball rolling, and to make myself feel better. Phoebe Buffay: No. This whole like playing-for-money thing is so not good for me. You know, I don't know, when I sang ""Su-Su-Suicide"", I got a dollar seventy-five. But then, ""Smelly Cat"", I got 25 cents and a condom. So you know, now I just feel really bad for Smelly Cat. Phoebe Buffay: It's not even that. I used to do my songs because it made me happy, but now it's like, it's just all about the money. ",1.0,0.0,1.0,2.0,-1.0
Rachel,"Rachel: Oh. That's so Monica can keep track. That way if one on them is missing, she can be like, 'Where's number 27?!' Rachel: Y'know what? Rachel: I can't do this. Rachel: Well, oh, Mark, I'm doing this for the wrong reasons, y'know? I'm just doing it to get back at Ross. I'm sorry, it's not very fair to you. ",0.0,2.0,0.0,0.0,-2.0
Roger,"Roger: I dunno. Maybe you wanted your marriage to fail. Roger: I don't know. Maybe maybe low self-esteem, maybe maybe to compensate for overshadowing a sibling, maybe you... Roger: Well, I don't know. I mean, it's conceivable that you wanted to sabotage your marriage so that the sibling would feel less of a failure in the eyes of the parents. ",-1.0,-3.0,-1.0,-1.0,2.0
Ross,"Ross: (entering) Okay, okay, okay, I've got two cabs and no people. Go! Go! Go! Ross: Rachel!! (she enters) Wow! You, uh, you look, wow! ",1.0,1.0,3.0,0.0,1.0
Joey,"Joey: (entering) Hey. Joey: Is ah, is Chandler around? Joey: Oooh. Joey: Nooo. No, no, ah, are you sure it wasn't something that sounded like Ginger, like ah, Gingeer? Joey: Aww, man. That's the girl I was hiding from. When she finds out he's my roommate, she's gonna tell him what I did. Joey: What, oh, oh, oh, no, no, I can't, I can't tell you that, it's like the most awful, horrible thing I've ever done my whole life. Joey: All right!! Okay, it was like four years ago. Okay, Ginger and I had gone out a few times, and then this one weekend, we went up to her Dad's cabin. Just me, her, and her annoying little dog Pepper. Well that night, I cooked this really romantic dinner.... ",0.0,-2.0,2.0,2.0,-1.0
Chandler Bing,"Chandler Bing: (entering) Hi. Anybody know a good tailor? Chandler Bing: No, no, I'm just looking for a man to draw on me with chalk. Chandler Bing: Okay. You have to stop the Q-tip when there's resistance! ",3.0,2.0,1.0,2.0,3.0
Rachel,"Rachel: Hi, sweetie! Rachel: I've got some bad news. Rachel: I can get a quick bite to eat, but then I have to come back up here. Rachel: Nooo, he's leaving for a better job. ",2.0,2.0,1.0,1.0,2.0
Monica Geller,"Monica Geller: I don't know what else to say. Monica Geller: I feel terrible, I really do. Monica Geller: Rachel, (they go back inside) say that I'm friends with her, we spend some time together. Is that so terrible? Monica Geller: It's that terrible? Monica Geller: Me? What are you talking about? Nobody could steal me from you. I mean, just because I'm friends with her doesn't make me any less friends with you. I mean, (starting to cry) you're my...We're, we're...Oh, I love you. ",0.0,0.0,-1.0,1.0,-2.0
Chandler Bing,"Chandler Bing: Well, maybe it's a contest, y'know? Like, collect all five? Chandler Bing: Hey, this is so unfair! Chandler Bing: So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this? ",0.0,0.0,0.0,-2.0,-2.0
Chandler,Chandler: Treeger's snaking the shower drain. Chandler: Hey! Chandler: Do we pay for this? Chandler: Maybe we shouldn't pay our phone bill-free phone sex. ,-1.0,0.0,1.0,-1.0,-1.0
Danielle,"Danielle: (entering) Chandler? Danielle: Well, I've been calling you, but it turns out I had your number wrong. And when I finally got the right one from Information, there was no answer. So I thought I'd just come down here, and make sure you were okay. Danielle: Listen uh, maybe we could get together later? Danielle: You got it. Danielle: G'bye, everybody. ",2.0,0.0,3.0,2.0,-2.0
Rachel Green,"Rachel Green: Um, Pheebs, so, you guys just dont get along? Rachel Green: So, is this just gonna be you and Carol? ",3.0,1.0,2.0,1.0,1.0
Joey,"Joey: Now, wh-what, what is that like? Joey: (to Ross) Why can't I find that? Joey: Well, I want it! Joey: I don't know, maybe I can't. I mean, maybe there's something wrong with me. ",2.0,2.0,1.0,1.0,2.0
Chandler,"Chandler: (jumps back and points at the cigarette) Oh my God! Chandler: Well, actually, yesterday I was smoking again. Today, I'm, I'm smoking still. Chandler: Look, I'm telling you this is just like my parents divorce, which is when I started smoking in the first place. Chandler: Yeahhh. I'm tellin' ya something, that ah, first smoke after nap time.... Chandler: Oh that's great, with my luck, that's gonna be him. ",0.0,0.0,-1.0,0.0,-1.0
Alice,"Alice: Hi, Phoebe! We were just at the drugstore and we got you a little present. Alice: So umm, you feel like taking a test? There's only one question. Alice: Okay. ",2.0,1.0,1.0,0.0,0.0
Woman,"Woman: Comin' through. Move, move. Woman: Yeah, well, now you're kinda not. Woman: Oh, I'm sorry, is that your basket? It's really pretty. Unfortunately, I don't see suds. Woman: No suds, no save. Ok? ",-2.0,-1.0,2.0,2.0,0.0
Joey Tribbiani,"Joey Tribbiani: You know more than one Fun Bobby? Joey Tribbiani: Ooh ooh ooh ooh, there's no room for milk! Joey Tribbiani: Uh, four. Joey Tribbiani: Yeah, and I met this really hot single mom at the store. What's an elf to do? ",2.0,-1.0,1.0,0.0,0.0
Monica,"Monica: Same category? Monica: Michael Flatley, Lord of the Dance! ",-1.0,0.0,2.0,0.0,1.0
Chandler,Chandler: Hey! Chandler: And now you're giving me the message! Chandler: You actually think that something can happen between Emily and Susan? Chandler: Hi! Hi! You're crazy! Okay? This is Emily. Emily is straight. ,1.0,1.0,3.0,1.0,1.0
Rachel Green,"Rachel Green: Ok, Paulo, why don't you just go get dressed, and then you be on your way, ok, bye-bye. (Paulo goes into his room.) Rachel Green: I don't know, I just kinda ran into him last night. Rachel Green: At his apartment. Is this juice? Rachel Green: Oh God, I know I'm a pathetic loser. ",3.0,-2.0,3.0,1.0,-1.0
Ross Geller,Ross Geller: Guys? There's a somebody I'd like you to meet. Ross Geller: 'That' would be Marcel. You wanna say hi? Ross Geller: My friend Bethel rescued him from some lab. ,0.0,1.0,1.0,2.0,1.0
Monica Geller,"Monica Geller: Ross, your little creatures got the remote again. Monica Geller: Great. Monica Geller: Ah no, you see, someone was supposed to take them down around New Years... but obviously someone forgot. ",2.0,2.0,2.0,-2.0,1.0
Monica,"Monica: Ohh, everybody at the restaurant still hates me. Monica: I thought I was making headway, everyone was smiling at me all day, I get off work and I find out that they wrote this (puts on her chef hat) on my chef's hat. (The hat says 'Quit, bitch') Monica: I mean I have not been picked on this much since kindergarten and they had to bring in someone from junior high to do the see-saw with me. (Joey laughs and Monica glares at him.) Monica: I mean they're trying to do everything they can to make me quit, and if there were any other job, I would. But this is something I've been waiting for my whole life. Monica: I would love too, but I can't! I mean I just can't, you know that I'm not good at confrontation. ",-1.0,1.0,0.0,-3.0,-1.0
Ross Geller,"Ross Geller: C'mon, just tell me, please, please. Ross Geller: Sure. By the way, there's a difference between being obsessive and. . . Ross Geller: Fine, OK! Heat, heat, heat, and I'm the obsessive one. [goes to the radiator and starts turning the knob] OK, this way is on, so this is. . . [breaks off the knob] off. Ross Geller: No, no, I was turnin' the knob and, and. . . here it is. Ross Geller: It uhh, it won't go back. Ross Geller: Oh, oh that's right, I forgot about your ability to fuse metal. ",0.0,0.0,1.0,0.0,-1.0
Joey,"Joey: Monica, how are you gonna do that? ",1.0,1.0,0.0,1.0,1.0
